time,animal,pellets,motorTurns,battery,delay,protocol
946684827,497,01,00,04,01,aclimatacion
946759725,497,02,00,04,01,aclimatacion
946785361,497,03,00,04,01,aclimatacion
946847234,497,04,00,04,01,aclimatacion
946847249,497,05,00,04,01,aclimatacion
946847250,497,06,00,04,01,aclimatacion
946847253,497,07,00,04,01,aclimatacion
1679488214,497,01,00,00,01,aclimatacion
1679488228,497,02,00,04,01,aclimatacion
1679492334,497,03,00,04,01,aclimatacion
1679492777,497,04,00,04,01,aclimatacion
1679493778,497,05,00,04,01,aclimatacion
1679493863,497,06,00,04,01,aclimatacion
1679494061,497,07,00,04,01,aclimatacion
1679494301,497,08,00,04,01,aclimatacion
1679494330,497,09,00,04,01,aclimatacion
1679494675,497,10,00,04,01,aclimatacion
1679494863,497,11,00,04,01,aclimatacion
1679495033,497,12,00,04,01,aclimatacion
1679495902,497,13,00,04,01,aclimatacion
1679496222,497,14,00,04,01,aclimatacion
1679497727,497,15,00,04,01,aclimatacion
1679500343,497,16,00,04,01,aclimatacion
1679500350,497,17,00,04,01,aclimatacion
1679500357,497,18,00,04,01,aclimatacion
1679501018,497,19,00,04,01,aclimatacion
1679502282,497,20,00,04,01,aclimatacion
1679502795,497,21,00,04,01,aclimatacion
1679502873,497,22,00,04,01,aclimatacion
1679505053,497,23,00,04,01,aclimatacion
1679522933,497,24,00,04,01,aclimatacion
1679522935,497,25,00,04,01,aclimatacion
1679522944,497,26,00,04,01,aclimatacion
1679522946,497,27,00,04,01,aclimatacion
1679522947,497,28,00,04,01,aclimatacion
1679522949,497,29,00,04,01,aclimatacion
1679522989,497,30,00,04,01,aclimatacion
1679523021,497,31,00,04,01,aclimatacion
1679523030,497,32,00,04,01,aclimatacion
1679564315,497,33,00,04,01,aclimatacion
1679564338,497,34,00,04,01,aclimatacion
1679564382,497,35,00,04,01,aclimatacion
1679564431,497,36,00,04,01,aclimatacion
1679568403,497,37,00,04,01,aclimatacion
1679568414,497,38,00,04,01,aclimatacion
1679572320,497,39,00,04,01,aclimatacion
1679572361,497,40,00,04,01,aclimatacion
1679575015,497,41,00,04,01,aclimatacion
1679575026,497,42,00,04,01,aclimatacion
1679575033,497,43,00,04,01,aclimatacion
1679575215,497,44,00,04,01,aclimatacion
1679575332,497,45,00,04,01,aclimatacion
1679575411,497,46,00,04,01,aclimatacion
1679575881,497,47,00,04,01,aclimatacion
1679575915,497,48,00,04,01,aclimatacion
1679577074,497,49,00,04,01,aclimatacion
1679577485,497,50,00,04,01,aclimatacion
1679577893,497,51,00,04,01,aclimatacion
1679578394,497,52,00,04,01,aclimatacion
1679578945,497,53,00,04,01,aclimatacion
1679579556,497,54,00,04,01,aclimatacion
1679579947,497,55,00,04,01,aclimatacion
1679580161,497,56,00,04,01,aclimatacion
1679580580,497,57,00,04,01,aclimatacion
1679580599,497,58,00,04,01,aclimatacion
1679581133,497,59,00,04,01,aclimatacion
1679581136,497,60,00,04,01,aclimatacion
1679581144,497,61,00,04,01,aclimatacion
1679582001,497,62,00,04,01,aclimatacion
1679582581,497,63,00,04,01,aclimatacion
1679583599,497,64,00,04,01,aclimatacion
1679583667,497,65,00,04,01,aclimatacion
1679584309,497,66,00,04,01,aclimatacion
1679584394,497,67,00,04,01,aclimatacion
1679584533,497,68,00,04,01,aclimatacion
1679584736,497,69,00,04,01,aclimatacion
1679585268,497,70,00,04,01,aclimatacion
1679586571,497,71,00,04,01,aclimatacion
1679587098,497,72,00,04,01,aclimatacion
1679587649,497,73,00,04,01,aclimatacion
1679588416,497,74,00,04,01,aclimatacion
1679588420,497,75,00,04,01,aclimatacion
1679589844,497,76,00,04,01,aclimatacion
1679590523,497,77,00,04,01,aclimatacion
1679590673,497,78,00,04,01,aclimatacion
1679592012,497,79,00,04,01,aclimatacion
1679592543,497,80,00,04,01,aclimatacion
1679593290,497,81,00,04,01,aclimatacion
1679596952,497,82,00,04,01,aclimatacion
1679596993,497,83,00,04,01,aclimatacion
1679597110,497,84,00,04,01,aclimatacion
1679597805,497,85,00,04,01,aclimatacion
1679598316,497,86,00,04,01,aclimatacion
1679598865,497,87,00,04,01,aclimatacion
1679600057,497,88,00,04,01,aclimatacion
1679601681,497,89,00,04,01,aclimatacion
1679603697,497,90,00,04,01,aclimatacion
1679605638,497,91,00,04,01,aclimatacion
1679605645,497,92,00,04,01,aclimatacion
1679608049,497,93,00,04,01,aclimatacion
1679608052,497,94,00,04,01,aclimatacion
1679608200,497,95,00,04,01,aclimatacion
1679617815,497,96,00,04,01,aclimatacion
1679624696,497,97,00,04,01,aclimatacion
1679624699,497,98,00,04,01,aclimatacion
1679624743,497,99,00,04,01,aclimatacion
1679625563,497,100,00,04,01,aclimatacion
1679626439,497,101,00,04,01,aclimatacion
1679635043,497,102,00,04,01,aclimatacion
1679638988,497,103,00,04,01,aclimatacion
1679638993,497,104,00,04,01,aclimatacion
1679639187,497,105,00,04,01,aclimatacion
1679643998,497,106,00,04,01,aclimatacion
1679647560,497,107,00,04,01,aclimatacion
1679647570,497,108,00,04,01,aclimatacion
1679651088,497,109,00,04,01,aclimatacion
1679653170,497,110,00,04,01,aclimatacion
1679657973,497,111,00,04,01,aclimatacion
1679658009,497,112,00,04,01,aclimatacion
1679658592,497,113,00,04,01,aclimatacion
1679659694,497,114,00,04,01,aclimatacion
1679659947,497,115,00,04,01,aclimatacion
